1987     ;IMO_214_033                                       ;Scaun operational_                                                                                  ;Scaun operational                                                                                   ;Scaun operational_                                                                                  ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1988     ;IMO_214_034                                       ;Scaun                                                                                               ;Scaun                                                                                               ;Scaun                                                                                               ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1989     ;IMO_214_035                                       ;Scaun conferinta_                                                                                   ;Scaun conferinta                                                                                    ;Scaun conferinta_                                                                                   ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1990     ;IMO_214_036                                       ;Fotoliu                                                                                             ;Fotoliu                                                                                             ;Fotoliu                                                                                             ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1991     ;IMO_214_037                                       ;Fotoliu puf                                                                                         ;Fotoliu puf                                                                                         ;Fotoliu puf                                                                                         ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1992     ;IMO_214_038                                       ;Scaun sala asteptare                                                                                ;Scaun sala asteptare                                                                                ;Scaun sala asteptare                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1993     ;IMO_214_039                                       ;Taburet                                                                                             ;Taburet                                                                                             ;Taburet                                                                                             ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1994     ;IMO_214_040                                       ;Masa colt                                                                                           ;Masa colt                                                                                           ;Masa colt                                                                                           ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1995     ;IMO_214_041                                       ;Masa                                                                                                ;Masa                                                                                                ;Masa                                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1996     ;IMO_214_042                                       ;Birou_                                                                                              ;Birou                                                                                               ;Birou_                                                                                              ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1997     ;IMO_214_043                                       ;Birou reglabil electric                                                                             ;Birou reglabil electric                                                                             ;Birou reglabil elect                                                                                ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1998     ;IMO_214_044                                       ;Masa inalta                                                                                         ;Masa inalta                                                                                         ;Masa inalta                                                                                         ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
1999     ;IMO_214_045                                       ;Masa conferinta L                                                                                   ;Masa conferinta L                                                                                   ;Masa conferinta L                                                                                   ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2000     ;IMO_214_046                                       ;Masa metalica                                                                                       ;Masa metalica                                                                                       ;Masa metalica                                                                                       ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2001     ;IMO_214_047                                       ;Masa sticla                                                                                         ;Masa sticla                                                                                         ;Masa sticla                                                                                         ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2002     ;IMO_214_048                                       ;Masa mica                                                                                           ;Masa mica                                                                                           ;Masa mica                                                                                           ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
2003     ;IMO_214_049                                       ;Masa bucatarie_                                                                                     ;Masa bucatarie                                                                                      ;Masa bucatarie_                                                                                     ;27256    ;214001                   ;MFIX_214                                                                                            ;NONIT                                                  ;
